id_grupo,id_grupo,Rendimiento,P24A,P24B,P24C,P24D,P24E,P24F,P24G,P24H,P25A,P25B,P25C,P25D,P25E,P25F,P30A,P30B,P30C,P30D,P30E,TITULAR,PP02_edad,PP04_antigdad,PP05_en_centro,PP10_retutor
9002,9002,-30.117235056193802,2.7222222222222223,2.5,2.6666666666666665,3.0555555555555554,1.9375,3.473684210526316,3.1666666666666665,1.8333333333333333,3.526315789473684,2.5,2.736842105263158,1.736842105263158,2.210526315789474,2.3157894736842106,2.473684210526316,2.3157894736842106,2.210526315789474,2.4210526315789473,2.1578947368421053,1,1.0,1.0,1.0,1.0
10001,10001,-15.696043415068342,3.5294117647058822,2.8823529411764706,3.0588235294117645,3.176470588235294,2.235294117647059,3.823529411764706,3.4375,2.3333333333333335,3.4210526315789473,2.388888888888889,2.7777777777777777,1.588235294117647,2.388888888888889,2.2222222222222223,2.263157894736842,2.388888888888889,2.5,2.2777777777777777,2.5,1,5.0,7.0,1.0,9.0
10002,10002,-16.970592358901474,3.473684210526316,2.6315789473684212,2.888888888888889,2.9523809523809526,1.95,3.6315789473684212,2.6315789473684212,2.0,3.35,2.1,2.6,1.65,2.15,2.1052631578947367,2.2,2.2,2.4,2.4210526315789473,2.6,1,3.0,5.0,1.0,2.0
11001,11001,-24.391915074500567,3.15,2.55,2.611111111111111,3.0,2.3,3.65,3.3684210526315788,2.1,2.526315789473684,2.5,1.7647058823529411,1.5,1.5789473684210527,2.1578947368421053,2.1052631578947367,2.7222222222222223,2.263157894736842,2.6315789473684212,2.3684210526315788,1,4.0,5.0,3.0,2.0
11002,11002,-2.1019263288567753,3.1875,2.5625,3.2,2.5294117647058822,2.375,3.588235294117647,3.0,1.8,3.2777777777777777,3.0588235294117645,3.0588235294117645,2.0,1.9411764705882353,2.5,2.2941176470588234,2.3125,2.25,2.466666666666667,2.4375,1,3.0,4.0,2.0,2.0
12001,12001,23.06680960351597,2.8076923076923075,2.3846153846153846,3.1153846153846154,3.36,2.08,3.8,3.52,1.76,3.6923076923076925,2.5833333333333335,2.4615384615384617,1.52,1.6538461538461537,1.5,2.8461538461538463,2.769230769230769,2.769230769230769,2.6153846153846154,2.576923076923077,2,3.0,5.0,2.0,2.0
13001,13001,21.250567227540767,2.9411764705882355,2.9411764705882355,2.6470588235294117,2.9411764705882355,2.0,3.411764705882353,3.0,2.1875,3.75,2.375,3.0,1.5333333333333334,1.6666666666666667,2.125,1.6875,2.1176470588235294,2.1176470588235294,2.0,2.5625,1,4.0,7.0,4.0,2.0
13002,13002,-13.58493890299191,3.4285714285714284,2.6,2.45,3.263157894736842,2.526315789473684,3.75,3.45,2.2,3.5,2.380952380952381,2.7142857142857144,1.9,1.9523809523809523,2.380952380952381,2.0454545454545454,2.8095238095238093,2.619047619047619,2.3333333333333335,2.761904761904762,1,3.0,4.0,2.0,1.0
14000,14000,23.24017709432496,3.35,2.35,2.8,3.05,2.4,3.3333333333333335,2.65,2.3,3.3333333333333335,2.2857142857142856,2.3333333333333335,1.2857142857142858,2.0952380952380953,1.619047619047619,1.8,2.5789473684210527,2.3,2.6,2.45,1,4.0,4.0,1.0,2.0
15000,15000,21.078783662002472,3.4285714285714284,2.9523809523809526,3.238095238095238,3.2857142857142856,2.3,3.4,2.7,1.894736842105263,3.619047619047619,2.5714285714285716,2.35,1.7,1.7,1.75,1.9047619047619047,2.5238095238095237,2.4285714285714284,2.5238095238095237,2.4761904761904763,1,2.0,1.0,1.0,1.0
